"num","subject","predicate","object"
"182","CycHLSupportModule","rdf-schema#comment","A specialization of #$CycProgramModule-CW each instance of 
which is a code module within the Cyc system such that, for
a certain type of #$CycHLSupportDatastructure (q.v.) claiming 
that some #$CycLSentence has some truth value in some 
#$Microtheory, the code module can verify the validity of 
that support and generate a justification for it."
"183","Obligation","facets-Generic","JointStaffResponsibilityType"
"184","FamousHuman","prettyString","famous persons"
"185","Place","owl#disjointWith","Agent-Generic"
"186","Abandoned-ExistentialStatus","22-rdf-syntax-ns#type","ConstructionArtifactTypeByExistentialStatus"
"187","21cTestGroup12","22-rdf-syntax-ns#type","21cSagemanDataGroup"
"188","Accountant","rdf-schema#subClassOf","DeskWorker"
"189","ActionMovie","prettyString-Canonical","action movie"
"190","IntelligentAgentActivity","prettyString-Canonical","intelligent agent activity"
"191","AcceptingTheUserCommunication","prettyString-Canonical","accepting the user communication"
"192","actAttributed","rdf-schema#domain","AttributingResponsibility"
"193","3DUltraMiniGolf-TheGame","22-rdf-syntax-ns#type","UnversionedProgram"
"194","actAttributed","quotedIsa","HasBeenReviewedInRolePredicateSweep"
"195","ComputerProgram-CW","prettyString","computer software"
"196","ABNAMROHoldingNV","22-rdf-syntax-ns#type","PubliclyHeldCorporation"
"197","A_Change-ThePrefix","prettyString","a prefixes"
"198","AdventureGameProgram","22-rdf-syntax-ns#type","KEClarifyingCollectionType"
"199","IDStringType","prettyString","types of ID string"
"200","TemporalObjectType","owl#disjointWith","TemporalStuffType"
"201","AbstractIndividual","rdf-schema#comment","A specialization of #$AbstractThing and #$IntangibleIndividual (q.v.).  This is the collection of all abstract (i.e. aspatial, atemporal) individuals.  Specializations of #$AbstractIndividual include #$Relation, #$Tuple, and #$AbstractStructure."
"202","747JumboJet-TheGame","22-rdf-syntax-ns#type","ComputerGameProgram"
"203","RegularlyRepeatedEventType","22-rdf-syntax-ns#type","RepeatedEvents-Time-Topic"
"204","GasField","22-rdf-syntax-ns#type","ArtifactualFeatureType"
"205","AB-206-Helicopter","rdf-schema#subClassOf","Helicopter"
"206","receivesServicesFrom","prettyString","recipients of services"
"207","FixedStructure","owl#disjointWith","TransportationDevice"
"208","ConstructionArtifact","prettyString","constructions"
"209","4ByteRealDatatype","rdf-schema#comment","The collection of all computer data types that employ exactly 4 bytes to represent some subset of the real numbers."
"210","GeopoliticalEntity","prettyString","Domain"
"211","3-TheDigit","prettyString","the numerals 3"
"212","PuzzleGameProgram","prettyString-Canonical","puzzle computer game"
"213","BlondeHairedHuman","prettyString","blonde people"
"214","ChangeOfStatusEvent","prettyString","changes in status"
"215","76MMRifledBoreCannon","prettyString","76 millimeter rifled bore gun"
"216","3-1AdjustableRateLoan","prettyString","1 adjustible rate loans"
"217","EngineeringUnit-MilitarySpecialty","22-rdf-syntax-ns#type","MilitaryUnitSpecialtyType"
"218","76MMRifledBoreCannon","prettyString","76 mm rifled bore cannons"
"219","ObjectType","prettyString","kinds of object"
"220","AbuDhabi-Emirate","prettyString","Abu Zaby"
"221","accessToTypeNotAmenable","arg1Format","openEntryFormatInArgs"
"222","ResearchOrganization","owl#disjointWith","TravelOrganization"
"223","SmoothBoreWeapon","22-rdf-syntax-ns#type","GunTypeByBarrelType"
"224","FileManagement-Topic","22-rdf-syntax-ns#type","CycVocabularyTopic"
"225","InformationStore","prettyString-Canonical","store of information"
"226","IDStringType","owl#disjointWith","MatterTypeByPhysicalState"
"227","NoteOnTheClassificationOfAktionsarten","prettyString-Canonical","Note On The Classification Of Aktionsarten"
"228","SearchEngine","prettyString","Web directories"
"229","29InchTelevisionSet","prettyString-Canonical","29 inch television set"
"230","over-UnderspecifiedLocation","22-rdf-syntax-ns#type","owl#TransitiveProperty"
"231","PlanetaryBody","22-rdf-syntax-ns#type","Geography-Topic"
"232","ManufacturedGoods","rdf-schema#comment","The collection of all #$Artifacts that are made or processed in large-scale industrial operations for distribution (normally sale) to agents outside the manufacturing organization.  This includes manufactured stuff, e.g. Finlandia vodka; refined ore, e.g. iron; otherwise procesed natural material, e.g. cut diamonds, as well as manufactured objects.  This collection excludes handicrafts; privately made stuff, e.g. moonshine; and other artifacts produced by one or a few people on a small scale."
"233","ComputerProgramCopy","prettyString-Canonical","copy of a computer program"
"234","accountForSystem","arity","2"
"235","touches","rdf-schema#comment","code> are in contact, either directly or indirectly.  Two spatial things are directly in contact just in case there is nothing between them; to indicate that such a situation obtains between two spatial things, use the specialization #$touches-Directly.  Two spatial things touch indirectly if there is only a very thin object or substance between them.  Here 'very thin' means that the distance between the surfaces of the two spatial things is very much less than the distance between their center points.  
<p>
Here are some examples in which #$touches holds: an airplane touches the air around it; my feet touch the floor (even though I am wearing shoes); a blanket touches the person sleeping under it (even if there is a sheet); a hovercraft touches the water (even though a cushion of air is between it and the water)."
