"num","subject","predicate","object"
"5075","Abnormal-Unusual","prettyString","more atypical"
"5076","ComputerNetwork","facets-Strict","ComputerNetworkTypeByTopology"
"5077","AbstractThing","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"5078","LongitudeLine","prettyString","meridians"
"5079","Aardvark-TheTVShow","22-rdf-syntax-ns#type","TVSeriesProduct"
"5080","DeAdjectivalAdverbProducingSuffix","rdf-schema#subClassOf","CategoryChangingAffix"
"5081","ApprovingARequest","prettyString","approves a request"
"5082","PropositionalConceptualWork-ScienceFictionGenre","22-rdf-syntax-ns#type","PCWTypeByGenre"
"5083","Abdomen","prettyString","Belly"
"5084","IntelligentAgent","owl#disjointWith","VegetableMatter"
"5085","over-UnderspecifiedLocation","arity","2"
"5086","Forgiving","prettyString","forgiven"
"5087","AbrinToxin","rdf-schema#subClassOf","Powder"
"5088","ComputerActivityType","owl#disjointWith","ScientificTechnique"
"5089","ShelterConstruction","22-rdf-syntax-ns#type","Construction-Topic"
"5090","AcademyAwardFn","prettyString-Canonical","Academy Award Fn"
"5091","AbuSaafaOilField","prettyString-Canonical","the Abu Saafa Oilfield"
"5092","AbstractIndividual","rdf-schema#subClassOf","IntangibleIndividual"
"5093","PunkMusicPerformer","rdf-schema#comment","The collection of individuals or groups that perform punk rock."
"5094","AcademicTesting","prettyString","have tested"
"5095","AccessingPersonalInformation","rdf-schema#subClassOf","AccessingAnIBT"
"5096","SyrianPerson","prettyString","Syriac person"
"5097","FamousHuman","prettyString","famous people"
"5098","AbradingTeeth","rdf-schema#subClassOf","AbradingSomething"
"5099","accessToExpected","rdf-schema#comment","(#$accessToExpected AGT IND) means that it is expected that the individual AGT would have access (see #$hasAccess) to the individual IND."
"5100","accessToTypeNotAmenable","arity","2"
"5101","Profits","prettyString","monetary flow rate that has been a profit of a business"
"5102","claimsResponsible","rdf-schema#domain","AttributingResponsibility"
"5103","AbductorPollicisBrevis","rdf-schema#subClassOf","SkeletalMuscle"
"5104","HollowCylindricalObject","owl#disjointWith","SheetOfSomeStuff"
"5105","1YearAdjustableRateLoan","prettyString-Canonical","one year adjustable rate loan"
"5106","3dwm-TheProgram","prettyString-Canonical","3dwm"
"5107","87thMeridian-West","rdf-schema#comment","The 87th meridian west of the #$PrimeMeridian of #$PlanetEarth."
"5108","27InchTelevisionSet","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"5109","TelevisionSet","prettyString","idiot boxes"
"5110","6MonthAdjustableRateLoan","22-rdf-syntax-ns#type","AdjustableRateLoanTypeByAdjustmentPeriod"
"5111","ManufacturingOrganization","22-rdf-syntax-ns#type","IndustrialConcept"
"5112","Leader","prettyString","chief"
"5113","AbgenixInc","22-rdf-syntax-ns#type","Individual"
"5114","uniquelyIdentifiedInType","quotedIsa","OpenCycDefinitionalPredicate"
"5115","GasPipeline","rdf-schema#subClassOf","Pipeline"
"5116","21cTestGroup2-8","rdf-schema#comment","21c group2 8  ."
"5117","ComputerWallpaperFile","22-rdf-syntax-ns#type","ObjectType"
"5118","Battalion-MilitaryEchelon","prettyString","battalions"
"5119","ABNAMROHoldingNV","prettyString-Canonical","ABNAMRO Holding NV"
"5120","LatitudeLine","prettyString","latitudes"
"5121","SymmetricAnatomicalPartType","rdf-schema#subClassOf","AnimalBodyPartType"
"5122","747JumboJet-TheGame","22-rdf-syntax-ns#type","ComputerGameProgram"
"5123","Profits","prettyString-Canonical","net income"
"5124","ChemicalWeaponsUnit-MilitarySpecialty","prettyString-Canonical","chemical weapons unit"
"5125","Accstat-TheProgram","22-rdf-syntax-ns#type","MSWindowsApplication"
"5126","IraqiPerson","rdf-schema#subClassOf","AsianCitizenOrSubject"
"5127","Abstinence","quotedIsa","StubTerm"
"5128","AbductorDigitiMinimi","rdf-schema#comment","The #$Collection of all instances of #$AbductorDigitiMinimi #$Muscle.  The #$AbductorDigitiMinimi abducts the #$LittleFinger away from the other #$Fingers parallel to the #$PalmOfHand."
"5129","containsInformationAbout-Focally","arg1Format","openEntryFormatInArgs"
"5130","LearnedActivityType","22-rdf-syntax-ns#type","FacetingCollectionType"
"5131","Able-TheSuffix","22-rdf-syntax-ns#type","ProductiveLexicalAffix"
"5132","21JumpStreet-TheTVShow","prettyString-Canonical","21 Jump Street"
"5133","accountBalance","prettyString-Canonical","account balance"
"5134","touches","prettyString","had touched an object"
"5135","AccessingAFile","rdf-schema#subClassOf","AccessingAnIBT"
"5136","Abnormal-Unusual","prettyString","most atypical"
"5137","PlanetaryBody","22-rdf-syntax-ns#type","KEClarifyingCollectionType"
"5138","intendedMaleficiary","arity","2"
"5139","2Amys-FoodServiceEstablishment","prettyString-Canonical","2 Amys"
"5140","Acknowledging-SoftwareAgentCom","prettyString-Canonical","acknowledging software agent com"
"5141","AccruingInterestOnALoan","rdf-schema#subClassOf","AccruingInterest"
"5142","Poisoning","prettyString","poisons"
"5143","typedGenlPreds","22-rdf-syntax-ns#type","VocabularyDefiningPredicate"
"5144","negationPreds","22-rdf-syntax-ns#type","RuleMacroPredicate"
